City, Population, Area, University, Subway, Landscape, Houseprice, Salary, Texi, Airquality, Forest, Old, History, Airport, Seaside, GDP
"北京", 1359.2, 16410.0, 8.0, 39, 71, 57768.0, 9240.0, 13.0, 226, 0.4235, 24.55, 5.0, 3.0, 0, 14051.2, 
"深圳", 1077.89, 1996.85, , 22, 7, 51477.0, 8315.0, 10.0, 191, 0.4004, 6.6, 0.0, 1.0, 1, 11009.38, 
"广州", 1404.35, 7434.4, 2.0, 30, 24, 28578.0, 7409.0, 12.0, 294, 0.42, 17.27, 2.0, 1.0, 1, 10652.98, 
"上海", 2420.0, 6340.0, 4.0, 24, 46, 50017.0, 8967.0, 14.0, 275, 0.162, 17.3, 0.0, 2.0, 1, 15558.15, 
"天津", 1562.0, 11946.0, 2.0, 20, 33, 22205.0, 6700.0, 8.0, 209, 0.0987, 23.35, 0.0, 1.0, 1, 9927.6, 
"重庆", 3048.0, 82402.0, 1.0, 14, 81, 9925.0, 6584.0, 10.0, 303, 0.454, 19.8, 0.0, 1.0, 0, 9821.09, 
"成都", 1605.0, 14605.0, 2.0, 17, 46, 12034.0, 6402.0, 8.0, 235, 0.391, 21.18, 3.0, 1.0, 0, 6870.68, 
"西安", 961.67, 10108.0, 2.0, 12, 30, 8880.0, 5872.0, 6.0, 180, 0.48, 15.99, 13.0, 1.0, 0, 3832.99, 
"沈阳", 734.4, 12948.0, 1.0, 5, 20, 7999.0, 5842.0, 8.0, 256, 0.326, 23.26, 2.0, 1.0, 0, 2705.2, 
"大连", 580.1, 132.37, 1.0, 8, 24, 10495.0, 6144.0, 10.0, 300, 0.415, 24.97, 0.0, 1.0, 1, 3520.6, 
"杭州", 946.8, 16596.0, 1.0, 12, 47, 28540.0, 7330.0, 11.0, 323, 0.6682, 22.16, 2.0, 1.0, 0, 6356.0, 
"武汉", 1091.4, 8494.41, 2.0, 23, 24, 16259.0, 6331.0, 10.0, 255, 0.28, 20.95, 0.0, 1.0, 0, 6780.38, 
"苏州", 667.01, 8488.4, , 5, 35, 15320.0, 6719.0, 11.0, 260, 0.2982, 25.2, 0.0, 0.0, 0, 9109.77, 
"南京", 821.61, 6597.0, 2.0, 28, 22, 25733.0, 6680.0, 11.0, 264, 0.2494, 20.0, 6.0, 1.0, 0, 6201.88, 
"郑州", 988.07, 7446.0, , 12, 15, 12859.0, 6191.0, 8.0, 38, 0.35, 17.3, 5.0, 2.0, 0, 4611.4, 
"长沙", 791.81, 11819.0, 3.0, 7, 20, 9873.0, 6186.0, 8.0, 262, 0.5482, 17.44, 0.0, 1.0, 0, 5060.0, 
"青岛", 909.7, 11282.0, 1.0, 9, 23, 17142.0, 6057.0, 10.0, 342, 0.394, 21.8, 0.0, 1.0, 1, 5985.43, 
"东莞", 834.25, 2465.0, , 4, 13, 13913.0, 6998.0, 8.0, 301, 0.374, 14.2, 0.0, 0.0, 1, 3868.6, 
"无锡", 650.01, 4628.0, , 4, 28, 9592.0, 6095.0, 10.0, 247, 0.352, 25.96, 0.0, 1.0, 0, 5535.66, 
"厦门", 401.0, 1699.39, , 5, 20, 47177.0, 6886.0, 10.0, 362, 0.428, 14.35, 0.0, 1.0, 1, 2081.51, 